Constant Name,Endpoint Path,Method,Found In File
API_Constants,device/constants,POST,Constants.lua
API_RegisterAchievements,player/registerachievement,POST,Models.AchievementManager.lua
API_CLAIM_AD_REWARD,player/claimadvertismentreward,POST,Models.AdController.lua
Dynamic/Variable,L10_41,POST,Models.AuctionItem.lua
Dynamic/Variable,L7_50,POST,Models.AuctionItem.lua
API_UpgradeBuilding,tribe/upgrade,POST,Models.Building.lua
API_AssignCards,cards/assign,POST,Models.Building.lua
API_FruitsExport,cards/fruitsjsonexport,POST,Models.Card.lua
API_Get_Error_Messages,error/messages,POST,Models.ErrorController.lua
API_BuyHeroItem,store/buyheroitem,POST,Models.ItemModel.lua
API_LiveBattle,live-battle/livebattle,POST,Models.LiveBattleManager.lua
API_LiveBattle,live-battle/livebattle,POST,Models.LiveBattleManager.lua
API_LiveBattle,live-battle/livebattle,POST,Models.LiveBattleManager.lua
API_Live_Battle,live-battle/livebattle,POST,Models.LiveBattleManager.lua
API_Live_Battle,live-battle/livebattle,POST,Models.LiveBattleManager.lua
API_Live_Battle,live-battle/livebattle,POST,Models.LiveBattleManager.lua
API_LiveBattle,live-battle/livebattle,POST,Models.LiveBattleManager.lua
API_FetchSystemMessages,message/systemmessages,POST,Models.Message.lua
API_FetchTribeBroadcastMessages,message/tribebroadcast,POST,Models.Message.lua
API_FetchBattleOpponenet,battle/getopponents,POST,Models.Operation.lua
API_Scout,battle/scout,POST,Models.Operation.lua
Dynamic/Variable,L6_30,POST,Models.Operation.lua
API_PROFILE_SET_PLAYER_INFO,player/setplayerinfo,POST,Models.Player.lua
API_VERIFY_MOBILE_NUMBER,player/verifymobilenumber,POST,Models.Player.lua
API_SET_MOBILE_NUMBER,player/setmobilenumber,POST,Models.Player.lua
API_SetEmail,player/setemail,POST,Models.Player.lua
API_CardCollection,cards/collection,POST,Models.Player.lua
API_CollectGold,cards/collectgold,POST,Models.Player.lua
API_SubmitCaptcha,bot/challengeresponse,POST,Models.Player.lua
API_ClaimFBReward,player/claimfbreward,POST,Models.Player.lua
API_ClaimInstagramReward,player/claiminstagramreward,POST,Models.Player.lua
API_PlayerComeback,player/comeback,POST,Models.Player.lua
API_PLAYER_FILL_POTION,player/fillpotion,POST,Models.Player.lua
API_WithdrawFromBank,player/withdrawfrombank,POST,Models.Player.lua
API_TribeCoach,tribe/coach,POST,Models.Player.lua
API_RedeemGift,player/redeemgift,POST,Models.Player.lua
API_TURN_THE_WHEEL,player/turnthewheel,POST,Models.Player.lua
API_PROFILE_GET_PLAYER_INFO,player/getplayerinfo,POST,Models.ProfileManager.lua
API_PROFILE_SET_PLAYER_INFO,player/setplayerinfo,POST,Models.ProfileManager.lua
API_PROFILE_GET_PLAYER_INFO,player/getplayerinfo,POST,Models.ProfileManager.lua
API_PROFILE_SET_PLAYER_INFO,player/setplayerinfo,POST,Models.ProfileManager.lua
API_PROFILE_GET_PLAYER_INFO,player/getplayerinfo,POST,Models.ProfileManager.lua
API_PROFILE_GET_PLAYER_INFO,player/getplayerinfo,POST,Models.ProfileManager.lua
API_PROFILE_SET_PLAYER_INFO,player/setplayerinfo,POST,Models.ProfileManager.lua
API_PROFILE_SET_PLAYER_INFO,player/setplayerinfo,POST,Models.ProfileManager.lua
API_PROFILE_SET_PLAYER_INFO,player/setplayerinfo,POST,Models.ProfileManager.lua
API_PROFILE_SET_PLAYER_INFO,player/setplayerinfo,POST,Models.ProfileManager.lua
API_FetchLeagueRanking,ranking/league,POST,Models.Rank.lua
API_FetchGlobalRankings,ranking/global,POST,Models.Rank.lua
API_FetchLocalRankings,ranking/local,POST,Models.Rank.lua
API_FetchRisingRanking,ranking/rising,POST,Models.Rank.lua
API_FetchTribeRanking,ranking/tribe,POST,Models.Rank.lua
API_FetchTribeRanking,ranking/tribe,POST,Models.Rank.lua
API_BuyCardPack,store/buycardpack,POST,Models.ShopItem.lua
API_Buy_Boost_Pack,store/buyboostpack,POST,Models.ShopItem.lua
API_SET_SPLASH,player/prepare,POST,Models.SplashABTestController.lua
API_CreateTribe,tribe/create,POST,Models.Tribe.lua
API_RecommendedTribes,tribe/recommended,POST,Models.Tribe.lua
API_TribeMembers,tribe/members,POST,Models.Tribe.lua
API_EditTribe,tribe/edit,POST,Models.Tribe.lua
API_LeaveTribe,tribe/leave,POST,Models.Tribe.lua
API_Donate,tribe/donate,POST,Models.Tribe.lua
API_FindTribe,tribe/find,POST,Models.Tribe.lua
API_JoinRequest,tribe/joinrequest,POST,Models.Tribe.lua
API_SendInviteRequest,tribe/invite,POST,Models.Tribe.lua
API_PromoteUser,tribe/promote,POST,Models.Tribe.lua
API_DemoteUser,tribe/demote,POST,Models.Tribe.lua
API_KickUser,tribe/kick,POST,Models.Tribe.lua
API_PokeUser,tribe/poke,POST,Models.Tribe.lua
API_AcceptJoinRequest,tribe/decidejoin,POST,Models.Tribe.lua
API_RejectJoinRequest,tribe/decidejoin,POST,Models.Tribe.lua
API_AcceptInviteRequest,tribe/decideinvite,POST,Models.Tribe.lua
API_RejectInviteRequest,tribe/decideinvite,POST,Models.Tribe.lua
API_TribeInvisible,tribe/invisible,POST,Models.Tribe.lua
API_BroadcastChiefMassage,tribe/broadcast,POST,Models.Tribe.lua
